# id,label
1,0.31
2,0.10
3,0.00
4,0.14
5,0.89
6,0.46
7,0.02
8,1.00
9,0.44
10,0.04
11,0.36
12,0.52
13,0.03
14,0.07
15,0.92
16,0.81
17,0.99
18,0.20
19,0.14
20,0.02
21,0.77
22,0.53
23,0.22
24,0.01
25,0.44
26,0.97
27,0.01
28,0.08
29,0.45
30,0.30
31,0.94
32,0.88
33,0.60
34,0.80
35,0.00
36,0.80
37,0.72
38,1.00
39,0.00
40,0.14
41,0.39
42,0.69
43,0.30
44,1.00
45,0.11
46,0.70
47,0.99
48,1.00
49,0.01
50,0.68
51,0.60
52,0.03
53,0.15
54,0.21
55,0.73
56,0.95
57,0.77
58,0.09
59,0.18
60,0.02
61,0.72
62,0.00
63,0.03
64,0.06
65,0.04
66,0.96
67,0.19
68,0.82
69,0.42
70,0.65
71,0.75
72,0.06
73,0.30
74,0.96
75,0.26
76,0.46
77,0.74
78,0.30
79,0.06
80,0.54
81,0.89
82,0.99
83,0.16
84,0.00
85,0.87
86,0.51
87,0.52
88,0.82
89,0.01
90,0.72
91,0.04
92,0.50
93,0.65
94,0.56
95,0.90
96,0.20
97,1.00
98,0.77
99,0.47
100,0.94
101,0.00
102,0.00
103,0.64
104,0.36
105,0.63
106,1.00
107,0.04
108,1.00
109,0.00
110,0.71
111,0.27
112,0.53
113,0.89
114,0.73
115,0.98
116,0.61
117,0.98
118,0.84
119,0.09
120,0.99
121,0.93
122,0.99
123,0.23
124,0.83
125,0.01
126,0.00
127,1.00
128,0.41
129,0.06
130,0.99
131,0.18
132,0.16
133,0.99
134,0.65
135,0.05
136,0.05
137,0.47
138,0.02
139,0.96
140,0.47
141,0.39
142,0.63
143,0.00
144,0.17
145,0.48
146,0.01
147,0.74
148,0.08
149,0.65
150,0.96
151,0.00
152,0.29
153,0.83
154,0.95
155,0.91
156,0.63
157,0.99
158,0.93
159,0.99
160,0.42
161,0.85
162,0.17
163,0.00
164,0.55
165,0.00
166,0.38
167,0.63
168,0.99
169,0.23
170,0.00
171,0.92
172,0.61
173,0.71
174,0.75
175,0.51
176,0.16
177,0.00
178,0.46
179,0.00
180,0.20
181,0.87
182,0.00
183,0.00
184,0.96
185,1.00
186,0.97
187,0.98
188,0.72
189,1.00
190,0.25
191,1.00
192,0.05
193,0.07
194,0.86
195,0.53
196,0.62
197,0.00
198,0.80
199,0.68
200,0.99
201,0.67
202,0.74
203,0.38
204,0.07
205,0.02
206,0.03
207,0.94
208,0.42
209,0.30
210,0.86
211,1.00
212,0.16
213,0.99
214,0.98
215,0.99
216,0.18
217,0.64
218,0.04
219,0.00
220,0.67
221,0.07
222,0.66
223,0.52
224,0.02
225,0.02
226,0.36
227,0.05
228,0.00
229,0.98
230,0.95
231,0.03
232,0.39
233,0.34
234,1.00
235,0.92
236,0.49
237,0.08
238,0.25
239,0.54
240,0.48
241,0.71
242,0.96
243,0.00
244,0.10
245,0.88
246,0.00
247,0.76
248,0.72
249,1.00
250,0.49
251,0.55
252,0.00
253,0.09
254,0.92
255,0.30
256,0.05
257,0.07
258,0.13
259,0.00
260,0.71
261,1.00
262,0.95
263,0.98
264,0.49
265,0.51
266,0.06
267,0.20
268,0.51
269,0.66
270,0.84
271,0.01
272,0.58
273,1.00
274,0.57
275,0.94
276,0.45
277,0.34
278,1.00
279,0.53
280,0.93
281,0.80
282,0.00
283,0.26
284,0.21
285,0.76
286,0.96
287,0.71
288,0.40
289,0.52
290,1.00
291,0.73
292,0.43
293,0.11
294,0.99
295,1.00
296,0.96
297,0.01
298,0.05
299,0.45
300,0.21
301,0.73
302,0.95
303,0.51
304,0.01
305,0.01
306,0.82
307,0.01
308,0.93
309,0.14
310,0.69
311,0.74
312,0.60
313,0.91
314,0.05
315,0.54
316,1.00
317,0.04
318,0.44
319,0.69
320,0.68
321,0.21
322,0.27
323,0.59
324,0.21
325,0.49
326,0.07
327,0.92
328,0.23
329,0.50
330,0.02
331,0.01
332,0.00
333,1.00
334,0.98
335,0.64
336,0.62
337,0.95
338,0.89
339,0.22
340,0.59
341,0.24
342,0.99
343,0.99
344,0.98
345,0.05
346,0.01
347,0.00
348,0.62
349,0.55
350,0.45
351,0.00
352,0.74
353,0.00
354,0.97
355,0.59
356,1.00
357,0.17
358,0.13
359,0.64
360,0.42
361,0.97
362,0.87
363,0.44
364,0.63
365,0.77
366,1.00
367,0.92
368,0.50
369,0.38
370,0.25
371,0.01
372,0.00
373,1.00
374,0.09
375,0.15
376,1.00
377,0.75
378,0.67
379,0.25
380,0.51
381,1.00
382,0.44
383,0.00
384,0.99
385,0.63
386,0.93
387,0.15
388,0.04
389,0.05
390,0.78
391,0.83
392,0.00
393,1.00
394,0.01
395,0.14
396,0.37
397,0.25
398,0.72
399,0.01
400,0.77
401,0.00
402,0.67
403,0.21
404,0.07
405,0.11
406,0.86
407,0.00
408,1.00
409,0.21
410,0.53
411,0.72
412,0.51
413,0.00
414,0.24
415,0.99
416,0.78
417,0.67
418,0.51
419,0.03
420,0.54
421,0.00
422,0.86
423,0.00
424,0.84
425,0.50
426,0.90
